,0,1,2,3,4
90,流行,['[ liúxíng ]'],"['流', '行']","['#/entry/zhko/7b2fe6534f2f4e1baded4bc28650f6af', '#/entry/zhko/d1e4bfe1b2974a07809257483076f6a8']",1.유행   2.성행   3.넓게 퍼지다   4.널리 행해지다
91,戏剧,['[ xìjù ]'],"['戏', '剧']","['#/entry/zhko/c3c8ef80bc834efd8906f4c57c32451b', '#/entry/zhko/780cc45211c447dda87215206bf8c368']",1.극   2.연극   3.각본   4.대본
92,以为,['[ yǐwéi ]'],"['以', '为']","['#/entry/zhko/15b64780134546d8b6ad6b9d394c4adc', '#/entry/zhko/6a9aff7f56a34cdda123aa411c1d70a8']",1.생각하다   2.여기다   3.알다   4.인정하다
93,相处,['[ xiāngchǔ ]'],"['相', '处']","['#/entry/zhko/5590002e3a834598adaa02b4c9fc6832', '#/entry/zhko/f1adcda51ae84f4c88a3cc52857c06fb']",1.함께 살다   2.함께 지내다
94,官方,['[ guānfāng ]'],"['官', '方']","['#/entry/zhko/a23f87f1858046e38b8b159ff404da51', '#/entry/zhko/9f5bf388a498482e98b94a43fef10281']",1.정부 당국   2.정부측   3.관리가 지켜야 할 예법
95,拥抱,['[ yōngbào ]'],"['拥', '抱']","['#/entry/zhko/6f6aa4efffac4e4dbf160cdf65faf4e3', '#/entry/zhko/0966abb023664c66b1117f499d546ccf']",
96,热情,['[ rèqíng ]'],"['热', '情']","['#/entry/zhko/643d8c3859a4410eb4d2cd012b615604', '#/entry/zhko/7a307c868529427c827e1a4905eba9fc']",1.열정   2.의욕   3.열정적이다   4.친절하다
97,弟弟,['[ dì‧di ]'],"['弟', '弟']","['#/entry/zhko/b0747ccb787344cd8566f0ac3fe00eae', '#/entry/zhko/b0747ccb787344cd8566f0ac3fe00eae']",1.아우   2.남동생
98,同事,['[ tóng//shì ]'],"['同', '事']","['#/entry/zhko/110dfb8a07914e7b950b6ce4249959a3', '#/entry/zhko/458a9430bb7645a68b1529dfde8dbae5']",1.함께 일하다   2.동료   3.동업자
99,面对,['[ miànduì ]'],"['面', '对']","['#/entry/zhko/058af9e47216414db5e45ee9dc8f578f', '#/entry/zhko/cc44d0a3a30c42a997f517ffe64586e5']",1.마주 보다   2.직면하다   3.직접 대면하다
100,入口,['[ rù//kǒu ]'],"['入', '口']","['#/entry/zhko/b4754faacdef4028b2c80e433c9a7ba6', '#/entry/zhko/b5c5253a468b416aaea8cb70ad81ce43']",1.입으로 들어가다   2.입항하다   3.수입하다
101,启发,['[ qǐfā ]'],"['启', '发']","['#/entry/zhko/3e33bc4bc68147cd8aec627dfbdb7d6c', '#/entry/zhko/90dde58de4ac43d8a7b44106573447ed']",1.계발   2.계몽
